0	275	158	0.000	5.10	1.24					
1	274	150	0.033	5.08	1.40	-0.61	4.85			
2	273	142	0.066	5.06	1.56	-1.21	5.76	-18.37	27.55	
3	270	131	0.099	5.00	1.78	-1.82	6.67	-22.96	18.37	
4	267	120	0.132	4.94	2.00	-2.73	6.97	-41.32	9.18	
5	261	108	0.165	4.82	2.24	-4.55	7.27	-50.51	4.59	
6	252	96	0.198	4.64	2.48	-6.06	7.27	-41.32	-9.18	
7	241	84	0.231	4.42	2.72	-7.27	6.67	-41.32	-27.55	
8	228	74	0.264	4.16	2.92	-8.79	5.45	36.73	-64.28	
9	212	66	0.297	3.84	3.08	-4.85	2.42	55.10	-55.10	
10	212	66	0.330	3.84	3.08	-5.15	1.82	-174.47	-4.59	
11	195	60	0.363	3.50	3.20	-16.36	2.12	-91.83	-22.96	
12	158	59	0.396	2.76	3.22	-11.21	0.30	165.29	-55.10	
13	158	59	0.429	2.76	3.22	-5.45	-1.52	9.18	-64.28	
14	140	64	0.462	2.40	3.12	-10.61	-3.94	-64.28	-64.28	
15	123	72	0.495	2.06	2.96	-9.70	-5.76	91.83	9.18	
16	108	83	0.528	1.76	2.74	-4.55	-3.33	50.51	-32.14	
17	108	83	0.561	1.76	2.74	-6.36	-7.88	-55.10	-128.56	
18	87	109	0.594	1.34	2.22	-8.18	-11.82	50.51	0.00	
19	81	122	0.627	1.22	1.96	-3.03	-7.88	96.42	64.28	
20	77	135	0.660	1.14	1.70	-1.82	-7.58	36.73	18.37	
21	75	147	0.693	1.10	1.46	-0.61	-6.67	27.55	32.14	
22	75	157	0.726	1.10	1.26	0.00	-5.45	13.77	36.73	
23	75	165	0.759	1.10	1.10	0.30	-4.24	4.59	36.73	
24	76	171	0.792	1.12	0.98	0.30	-3.03	-4.59	36.73	
25	76	175	0.825	1.12	0.90	0.00	-1.82	-4.59	36.73	
26	76	177	0.858	1.12	0.86	0.00	-0.61	0.00	36.73	
27	76	177	0.891	1.12	0.86	0.00	0.61	0.00	36.73	
28	76	175	0.924	1.12	0.90	0.00	1.82	-4.59	32.14	
29	76	171	0.957	1.12	0.98	-0.30	2.73	-9.18	27.55	
30	75	166	0.990	1.10	1.08	-0.61	3.64	4.59	32.14	
31	74	159	1.023	1.08	1.22	0.00	4.85	18.37	36.73	
32	75	150	1.056	1.10	1.40	0.61	6.06	18.37	27.55	
33	76	139	1.089	1.12	1.62	1.21	6.67	22.96	13.77	
34	79	128	1.122	1.18	1.84	2.12	6.97	32.14	9.18	
35	83	116	1.155	1.26	2.08	3.33	7.27	41.32	0.00	
36	90	104	1.188	1.40	2.32	4.85	6.97	41.32	-9.18	
37	99	93	1.221	1.58	2.54	6.06	6.67	36.73	-13.77	
38	110	82	1.254	1.80	2.76	7.27	6.06	36.73	-22.96	
39	123	73	1.287	2.06	2.94	8.48	5.15	36.73	-32.14	
40	138	65	1.320	2.36	3.10	9.70	3.94	27.55	-45.91	
41	155	60	1.353	2.70	3.20	10.30	2.12	13.77	-55.10	
42	172	58	1.386	3.04	3.24	10.61	0.30	9.18	-59.69	
43	190	59	1.419	3.40	3.22	10.91	-1.82	-9.18	-59.69	
44	208	64	1.452	3.76	3.12	10.00	-3.64	-32.14	-50.51	
45	223	71	1.485	4.06	2.98	8.79	-5.15	-32.14	-41.32	
46	237	81	1.518	4.34	2.78	7.88	-6.36	-36.73	-22.96	
47	249	92	1.551	4.58	2.56	6.36	-6.67	-50.51	-9.18	
48	258	103	1.584	4.76	2.34	4.55	-6.97	-45.91	0.00	
49	264	115	1.617	4.88	2.10	3.33	-6.67	-45.91	59.69	
50	269	125	1.650	4.98	1.90	1.52	-3.03	-41.32	55.10	
51	269	125	1.683	4.98	1.90	0.61	-3.03	0.00	-59.69	
52	271	135	1.716	5.02	1.70	1.52	-6.97	4.59	-27.55	
53	274	148	1.749	5.08	1.44	0.91	-4.85	-22.96	91.83	
54	274	151	1.782	5.08	1.38	0.00	-0.91	-13.77	73.46	
55	274	151	1.815	5.08	1.38	0.00	0.00	0.00	18.37	
56	274	151	1.848	5.08	1.38	0.00	0.30	0.00	18.37	
57	274	150	1.881	5.08	1.40	0.00	1.21	-4.59	32.14	
58	274	147	1.914	5.08	1.46	-0.30	2.42	-9.18	36.73	
59	273	142	1.947	5.06	1.56	-0.61	3.64	-13.77	32.14	
60	272	135	1.980	5.04	1.70	-1.21	4.55	-18.37	27.55	
61	269	127	2.013	4.98	1.86	-1.82	5.45	-22.96	22.96	
62	266	117	2.046	4.92	2.06	-2.73	6.06	-32.14	9.18	
63	260	107	2.079	4.80	2.26	-3.94	6.06	-36.73	4.59	
64	253	97	2.112	4.66	2.46	-5.15	6.36	-36.73	0.00	
65	243	86	2.145	4.46	2.68	-6.36	6.06	-32.14	-18.37	
66	232	77	2.178	4.24	2.86	-7.27	5.15	-32.14	-22.96	
67	219	69	2.211	3.98	3.02	-8.48	4.55	-36.73	-32.14	
68	204	62	2.244	3.68	3.16	-9.70	3.03	-27.55	-50.51	
69	187	59	2.277	3.34	3.22	-10.30	1.21	-9.18	-50.51	
70	170	58	2.310	3.00	3.24	-10.30	-0.30	0.00	-50.51	
71	153	60	2.343	2.66	3.20	-10.30	-2.12	13.77	-55.10	
72	136	65	2.376	2.32	3.10	-9.39	-3.94	27.55	-50.51	
73	122	73	2.409	2.04	2.94	-8.48	-5.45	27.55	-36.73	
74	108	83	2.442	1.76	2.74	-7.58	-6.36	41.32	-18.37	
75	97	94	2.475	1.54	2.52	-5.76	-6.67	50.51	-9.18	
76	89	105	2.508	1.38	2.30	-4.24	-6.97	41.32	-4.59	
77	83	117	2.541	1.26	2.06	-3.03	-6.97	32.14	9.18	
78	79	128	2.574	1.18	1.84	-2.12	-6.36	27.55	18.37	
79	76	138	2.607	1.12	1.64	-1.21	-5.76	27.55	22.96	
80	75	147	2.640	1.10	1.46	-0.30	-4.85	13.77	32.14	
81	75	154	2.673	1.10	1.32	-0.30	-3.64	4.59	36.73	
82	74	159	2.706	1.08	1.22	0.00	-2.42	9.18	36.73	
83	75	162	2.739	1.10	1.16	0.30	-1.21	0.00	32.14	
84	75	163	2.772	1.10	1.14	0.00	-0.30	-4.59	27.55	
85	75	163	2.805	1.10	1.14	0.00	0.61	0.00	32.14	
86	75	161	2.838	1.10	1.18	0.00	1.82	0.00	36.73	
87	75	157	2.871	1.10	1.26	0.00	3.03	0.00	27.55	
88	75	151	2.904	1.10	1.38	0.00	3.64	9.18	22.96	
89	75	145	2.937	1.10	1.50	0.61	4.55	18.37	27.55	
90	77	136	2.970	1.14	1.68	1.21	5.45	0.00	-27.55	
91	79	127	3.003	1.18	1.86	0.61	2.73	0.00	-36.73	
92	79	127	3.036	1.18	1.86	1.21	3.03	68.87	105.60	
93	83	117	3.069	1.26	2.06	5.15	9.70	87.24	101.01	
94	96	95	3.102	1.52	2.50	6.97	9.70	18.37	-59.69	
95	106	85	3.135	1.72	2.70	6.36	5.76	4.59	-68.87	
96	117	76	3.168	1.94	2.88	7.27	5.15	-36.73	-50.51	
97	130	68	3.201	2.20	3.04	3.94	2.42	-45.91	-55.10	
98	130	68	3.234	2.20	3.04	4.24	1.52	78.05	4.59	
99	144	63	3.267	2.48	3.14	9.09	2.73	9.18	-4.59	
100	160	59	3.300	2.80	3.22	4.85	1.21	13.77	-45.91	
101	160	59	3.333	2.80	3.22	10.00	-0.30	146.92	-41.32	
102	193	60	3.366	3.46	3.20	14.55	-1.52	-13.77	-45.91	
103	208	64	3.399	3.76	3.12	9.09	-3.33	-96.42	-45.91	
104	223	71	3.432	4.06	2.98	8.18	-4.55	-32.14	-32.14	
105	235	79	3.465	4.30	2.82	6.97	-5.45	-36.73	-18.37	
106	246	89	3.498	4.52	2.62	5.76	-5.76	-36.73	-4.59	
107	254	98	3.531	4.68	2.44	4.55	-5.76	-32.14	0.00	
108	261	108	3.564	4.82	2.24	3.64	-5.76	-32.14	9.18	
109	266	117	3.597	4.92	2.06	2.42	-5.15	-32.14	22.96	
110	269	125	3.630	4.98	1.90	1.52	-4.24	-22.96	32.14	
111	271	131	3.663	5.02	1.78	0.91	-3.03	-18.37	32.14	
112	272	135	3.696	5.04	1.70	0.30	-2.12	-9.18	32.14	
113	272	138	3.729	5.04	1.64	0.30	-0.91	-4.59	36.73	
114	273	138	3.762	5.06	1.64	0.00	0.30	-13.77	32.14	
115	272	137	3.795	5.04	1.66	-0.61	1.21	-9.18	32.14	
116	271	134	3.828	5.02	1.72	-0.61	2.42	-4.59	36.73	
117	270	129	3.861	5.00	1.82	-0.91	3.64	-18.37	27.55	
118	268	122	3.894	4.96	1.96	-1.82	4.24	-22.96	18.37	
119	264	115	3.927	4.88	2.10	-2.42	4.85	-22.96	18.37	
120	260	106	3.960	4.80	2.28	-3.33	5.45	-27.55	9.18	
121	253	97	3.993	4.66	2.46	-4.24	5.45	-27.55	-4.59	
122	246	88	4.026	4.52	2.64	-5.15	5.15	-36.73	-9.18	
123	236	80	4.059	4.32	2.80	-6.67	4.85	-36.73	-9.18	
124	224	72	4.092	4.08	2.96	-7.58	4.55	-22.96	-22.96	
125	211	65	4.125	3.82	3.10	-8.18	3.33	-18.37	-36.73	
126	197	61	4.158	3.54	3.18	-8.79	2.12	-18.37	-36.73	
127	182	58	4.191	3.24	3.24	-9.39	0.91	-13.77	-45.91	
128	166	58	4.224	2.92	3.24	-9.70	-0.91	0.00	-50.51	
129	150	61	4.257	2.60	3.18	-9.39	-2.42	18.37	-41.32	
130	135	66	4.290	2.30	3.08	-8.48	-3.64	27.55	-36.73	
131	122	73	4.323	2.04	2.94	-7.58	-4.85	73.46	13.77	
132	110	82	4.356	1.80	2.76	-3.64	-2.73	68.87	32.14	
133	110	82	4.389	1.80	2.76	-3.03	-2.73	-59.69	-91.83	
134	100	91	4.422	1.60	2.58	-7.58	-8.79	-41.32	-96.42	
135	85	111	4.455	1.30	2.18	-5.76	-9.09	96.42	87.24	
136	81	121	4.488	1.22	1.98	-1.21	-3.03	73.46	96.42	
137	81	121	4.521	1.22	1.98	-0.91	-2.73	-9.18	-55.10	
